iter	Passed	Remaining
412	3376	4798
413	3378	4782
414	3381	4765
415	3497	4910
416	3505	4900
417	3508	4884
418	3510	4868
419	3513	4852
420	3516	4835
421	3532	4838
422	3542	4832
423	3556	4832
424	3559	4815
425	3562	4800
426	3566	4786
427	3616	4833
428	3635	4838
429	3637	4821
430	3639	4805
431	3642	4789
432	3644	4772
433	3650	4761
434	3656	4748
435	3658	4732
436	3662	4718
437	3666	4703
438	3668	4688
439	3670	4671
440	3673	4655
441	3690	4659
442	3696	4647
443	3701	4635
444	3704	4619
445	3706	4604
446	3711	4591
447	3715	4577
448	3718	4562
449	3720	4547
450	3725	4534
451	3727	4519
452	3733	4508
453	3757	4519
454	3759	4503
455	3763	4489
456	3765	4474
457	3768	4459
458	3772	4446
459	3774	4431
460	3777	4416
461	3780	4401
462	3782	4386
463	3784	4372
464	3789	4359
465	3792	4345
466	3794	4330
467	3797	4316
468	3799	4301
469	3807	4293
470	3809	4278
471	3815	4267
472	3817	4253
473	3825	4244
474	3827	4230
475	3830	4216
476	3831	4201
477	3834	4187
478	3838	4174
479	3840	4160
480	3842	4146
481	3844	4132
482	3847	4118
483	3849	4104
484	3853	4091
485	3855	4077
486	3856	4062
487	3859	4048
488	3860	4034
489	3865	4022
490	3867	4009
491	3869	3995
492	3871	3981
493	3873	3967
494	3875	3954
495	3877	3940
496	3881	3928
497	3883	3915
498	3885	3901
499	3887	3887
500	3889	3874
501	3891	3860
502	3896	3850
503	3898	3836
504	3900	3823
505	3903	3810
506	3905	3797
507	3907	3784
508	3912	3774
509	3914	3761
510	3916	3748
511	3921	3737
512	3923	3724
513	3929	3715
514	3933	3704
515	3936	3692
516	3939	3680
517	3943	3669
518	3945	3656
519	3947	3643
520	3949	3631
521	3952	3618
522	3954	3606
523	3958	3595
524	3960	3583
525	3963	3571
526	3966	3559
527	3968	3547
528	3973	3538
529	3976	3526
530	3978	3514
531	3981	3502
532	3983	3490
533	3988	3480
534	3990	3468
535	3993	3456
536	3996	3445
537	3998	3433
538	4000	3421
539	4005	3411
540	4007	3400
541	4009	3388
542	4011	3376
543	4014	3364
544	4016	3352
545	4020	3342
546	4021	3330
547	4023	3318
548	4025	3306
549	4027	3295
550	4029	3283
551	4030	3271
552	4034	3261
553	4036	3249
554	4037	3237
555	4039	3225
556	4041	3214
557	4043	3202
558	4044	3190
559	4046	3179
560	4049	3168
561	4051	3157
562	4052	3145
563	4054	3134
564	4056	3122
565	4057	3111
566	4059	3099
567	4060	3088
568	4064	3078
569	4066	3067
570	4068	3056
571	4069	3045
572	4071	3034
573	4073	3023
574	4075	3012
575	4078	3002
576	4080	2991
577	4082	2980
578	4083	2969
579	4085	2958
580	4087	2947
581	4090	2937
582	4094	2928
583	4096	2917
584	4098	2907
585	4101	2897
586	4102	2886
587	4104	2875
588	4106	2865
589	4108	2855
590	4110	2844
591	4112	2833
592	4114	2823
593	4116	2813
594	4118	2803
595	4120	2792
596	4123	2783
597	4125	2773
598	4127	2763
599	4129	2752
600	4131	2742
601	4133	2732
602	4135	2722
603	4137	2712
604	4139	2702
605	4140	2692
606	4142	2682
607	4144	2672
608	4146	2662
609	4152	2654
610	4154	2644
611	4155	2634
612	4157	2624
613	4159	2614
614	4160	2604
615	4162	2594
616	4166	2586
617	4167	2576
618	4169	2566
619	4170	2556
620	4172	2546
621	4173	2536
622	4175	2526
623	4177	2516
624	4178	2507
625	4182	2498
626	4184	2489
627	4186	2480
628	4188	2470
629	4190	2461
630	4192	2451
631	4193	2441
632	4197	2433
633	4199	2424
634	4201	2414
635	4203	2405
636	4205	2396
637	4206	2387
638	4208	2377
639	4211	2369
640	4213	2359
641	4215	2350
642	4216	2341
643	4218	2332
644	4220	2322
645	4221	2313
646	4223	2304
647	4226	2296
648	4228	2286
649	4230	2277
650	4231	2268
651	4233	2259
652	4235	2250
653	4236	2241
654	4238	2232
655	4241	2224
656	4243	2215
657	4244	2206
658	4246	2197
659	4247	2188
660	4249	2179
661	4251	2170
662	4252	2161
663	4254	2152
664	4257	2144
665	4258	2135
666	4260	2126
667	4261	2118
668	4263	2109
669	4264	2100
670	4266	2091
671	4268	2083
672	4271	2075
673	4273	2066
674	4274	2058
675	4275	2049
676	4277	2040
677	4279	2032
678	4280	2023
679	4282	2015
680	4284	2007
681	4286	1998
682	4288	1990
683	4289	1981
684	4291	1973
685	4293	1965
686	4295	1956
687	4296	1948
688	4298	1940
689	4300	1932
690	4303	1924
691	4305	1916
692	4306	1907
693	4308	1899
694	4310	1891
695	4312	1883
696	4313	1875
697	4315	1867
698	4318	1859
699	4320	1851
700	4321	1843
701	4323	1835
702	4324	1827
703	4325	1818
704	4327	1810
705	4328	1802
706	4330	1794
707	4333	1787
708	4335	1779
709	4337	1771
710	4339	1763
711	4340	1755
712	4342	1747
713	4344	1740
714	4347	1733
715	4349	1725
716	4351	1717
717	4352	1709
718	4354	1701
719	4356	1694
720	4357	1686
721	4359	1678
722	4360	1670
723	4363	1663
724	4364	1655
725	4366	1647
726	4367	1640
727	4369	1632
728	4370	1624
729	4372	1617
730	4373	1609
731	4376	1602
732	4378	1594
733	4380	1587
734	4381	1579
735	4383	1572
736	4384	1564
737	4386	1557
738	4387	1549
739	4389	1542
740	4392	1535
741	4393	1527
742	4395	1520
743	4396	1512
744	4398	1505
745	4399	1498
746	4401	1490
747	4402	1483
748	4404	1476
749	4407	1469
750	4409	1461
751	4410	1454
752	4412	1447
753	4413	1440
754	4415	1432
755	4416	1425
756	4418	1418
757	4421	1411
758	4423	1404
759	4424	1397
760	4426	1390
761	4427	1382
762	4429	1375
763	4430	1368
764	4432	1361
765	4433	1354
766	4436	1347
767	4438	1340
768	4439	1333
769	4441	1326
770	4443	1319
771	4445	1312
772	4446	1305
773	4448	1298
774	4451	1292
775	4452	1285
776	4454	1278
777	4455	1271
778	4457	1264
779	4459	1257
780	4460	1250
781	4461	1243
782	4463	1236
783	4466	1230
784	4468	1223
785	4469	1216
786	4471	1210
787	4472	1203
788	4475	1196
789	4477	1190
790	4478	1183
791	4481	1176
792	4483	1170
793	4484	1163
794	4486	1156
795	4487	1150
796	4488	1143
797	4490	1136
798	4491	1130
799	4493	1123
800	4496	1117
801	4498	1110
